"","uid","domainID","siteID","namedLocation","collectDate","sampleID","sampleCode","batchID","sampleCondition","laboratoryName","analysisDate","analyzedBy","sampleType","replicate","sampleVolumeFiltered","filterSize","percentFilterAnalyzed","analyte","analyteConcentration","plantAlgaeLabUnits","testMethod","method","acidTreatment","externalRemarks","externalLabDataQF","publicationDate","release"
"15","59c216a8-99b5-4211-b019-5ec60ffe2bf7","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.CNSA.1","A00000031240",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d34S",11,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"16","8ef7bbe0-facc-4a1c-9e73-7f97687137a4","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.CNSA.1","A00000031240",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d13C",-21.16,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"17","2d9569c5-da07-43fc-bcdd-92b1b585f2e4","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",4277.97,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"18","67bac41c-8c66-4b7a-8e4f-3a34d001d90d","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d13C",-26.24,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"19","c1d21a07-e00e-4787-9b4f-a348488445a0","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"sulfur",154.47,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"20","ecf6eb94-89a6-419f-8563-0773d369786b","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d15N",2.16,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"21","4740e69a-90ba-4ddc-9a2f-5006c10c2b70","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d34S",16.35,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"22","32d751b0-85f8-4947-bf4f-1a899d45bdb7","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"carbon",28885.08,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"23","d611d22f-c30f-44d8-964c-3e0a1e503be6","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d13C",-24.55,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"24","10a39fe2-1ac7-4533-a7ac-2e8d225a32f0","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.CNSA.1","A00000031240",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",21805.95,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"25","0123b909-6da6-49ec-b668-1c3b3f555131","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d15N",0.37,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"26","888c03f2-e968-4da5-8713-b34b736224dc","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"sulfur",189.25,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"27","201ec5f5-b199-4db7-ae61-b0d8f921be9e","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"carbon",43831.14,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"28","44c9ce19-263c-4a15-91c4-4acf977833da","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d15N",0.08,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"29","c804853c-52e5-449c-816c-ed7dc0e5a792","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.CNSA.1","A00000031222",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"carbon",34515.58,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"30","0e0018f1-7646-4844-abf2-2a499bafbd38","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"carbon",29094.4,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"31","dbd55ddc-97a4-4e5d-b4bc-dd83be7f4806","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"carbon",90087.97,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"32","3da68c2b-0fe1-40c7-bd6c-b6a4d2153817","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.CNSA.1","A00000031265",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d15N",0.46,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"33","346d2898-b43f-478a-8af1-9fb687ae1ee2","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.CNSA.1","A00000031240",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"carbon",119583.55,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"34","d8626e72-1e5d-4f61-82fa-62427e720eff","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.CNSA.1","A00000031222",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d34S",14.94,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"35","9e2f188c-bb3c-4588-95e8-5d5a2460196d","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.4.CNSA.1","A00000031261",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"nitrogen",4704.15,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"36","0c5a588a-8324-4789-ab17-f7adfee10d7d","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.CNSA.1","A00000031222",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"sulfur",96.59,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"37","ff676015-ad2f-4cef-8f22-c25e857ce20d","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"carbon",17549.67,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"38","4ce8e8c3-3d0d-457c-9e99-98365ecfe756","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d34S",12.85,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"39","e8f3463b-258f-4054-b7d3-be1c78b5e00f","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"sulfur",349.93,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"40","d9e04dae-d97d-4465-872a-ecbd8b464869","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.CNSA.1","A00000031222",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"nitrogen",4145.71,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"41","504d8f9d-3f3d-4ef1-98fa-03f3aa37e3b4","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d34S",14.72,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"42","1c835c9c-2c34-4db6-82af-cdd2ec9b0b32","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.6.CNSA.1","A00000031254",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d13C",-14.9,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"43","90efe381-aada-4f49-beee-d9c8b0cba563","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.CNSA.1","A00000031265",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d13C",-21.12,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"44","86bf89db-d517-47d1-b08c-0079e2bcebe2","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"sulfur",177.25,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"45","b2d1a311-7fbf-4594-866b-f8ffd0ef2c99","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.3.CNSA.1","A00000031240",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d15N",2.72,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"46","59d35300-2e49-4d06-8326-af4b9e645eb8","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"sulfur",83.07,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"47","9f5fd58d-e001-4668-ba0f-da7c371f62d9","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d34S",10.94,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"48","fc5e4cee-83f3-4e5c-9b37-9b2933529258","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d15N",-1.24,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"49","e4255cf8-9650-4092-884b-c88826592ade","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.2.CNSA.1","A00000031222",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d13C",-26.12,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"50","9db4ff7a-3ed1-4770-af82-4acfc386ac25","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d34S",10.11,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012b",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"51","0c895aa9-c3d9-4e15-95cd-57443b99f07e","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",6351.02,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"52","2c11293d-f4e6-45dd-b57a-10a7f86cffee","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"d13C",-24.85,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"53","0847bcfa-9b64-4bef-b068-e277dd81ccb7","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.7.CNSA.1","A00000031253",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d15N",-1.29,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"54","b036b3ed-eeed-4aba-b27d-e7f89e8d865a","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.1.CNSA.1","A00000031238",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",10,25,100,"nitrogen",2244.59,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"55","fab77d6b-2374-44a1-a765-3b6fac17d561","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.8.CNSA.1","A00000031249",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"d13C",-25.69,"perMill","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a","N",NA,NA,"20221128T175724Z","RELEASE-2023"
"56","352ce5e5-428f-4ec1-be13-4b4776257302","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.CNSA.1","A00000031265",NA,"condition ok","SIRFER Lab at University of Utah",2018-10-31,"ElFtGy1kV49xqNP00HfxQA==","CNS","1",5,25,100,"nitrogen",11508.19,"microgramsPerLiter","SIRFER_algalPlantChem_isotopes_V1","Revesz & Coplen 2012a",NA,NA,NA,"20221128T175724Z","RELEASE-2023"
"57","fe04c35a-3ff6-483a-823a-21f1e55cd692","D12","BLDE","BLDE.AOS.reach",2018-07-31,"BLDE.20180731.EPILITHON.5.CHL/PHEO.1","B00000013412","D13D12_7782.65.67","condition ok","EcoAnalysts Inc.",2018-08-09,"5SD3v6V9C763w1YKG/y7EA==","chlorophyll/pheophytin","1",5,25,100,"pheophytin",39.18,"microgramsPerLiter","ECOANALYSTS_algalChlorophyll_V2",NA,NA,NA,NA,"20221128T175724Z","RELEASE-2023"
